Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name,Gene Synonym
ENSDARG00000083480,ENSDARG00000083480.3,ENSDART00000116162,ENSDART00000116162.3,,
ENSDARG00000082753,ENSDARG00000082753.3,ENSDART00000115891,ENSDART00000115891.3,,
ENSDARG00000081443,ENSDARG00000081443.3,ENSDART00000118668,ENSDART00000118668.3,,
ENSDARG00000080337,ENSDARG00000080337.3,ENSDART00000117596,ENSDART00000117596.3,,
ENSDARG00000083046,ENSDARG00000083046.3,ENSDART00000118697,ENSDART00000118697.3,,
ENSDARG00000063895,ENSDARG00000063895.3,ENSDART00000093596,ENSDART00000093596.3,mt-nd1,
ENSDARG00000083118,ENSDARG00000083118.3,ENSDART00000116525,ENSDART00000116525.3,,
ENSDARG00000080630,ENSDARG00000080630.3,ENSDART00000116983,ENSDART00000116983.3,,
ENSDARG00000082084,ENSDARG00000082084.3,ENSDART00000116751,ENSDART00000116751.3,,
ENSDARG00000063899,ENSDARG00000063899.3,ENSDART00000093600,ENSDART00000093600.3,mt-nd2,
ENSDARG00000080718,ENSDARG00000080718.3,ENSDART00000118316,ENSDART00000118316.3,,
ENSDARG00000080401,ENSDARG00000080401.3,ENSDART00000118299,ENSDART00000118299.3,,
ENSDARG00000081938,ENSDARG00000081938.3,ENSDART00000116869,ENSDART00000116869.3,,
ENSDARG00000082789,ENSDARG00000082789.3,ENSDART00000116146,ENSDART00000116146.3,,
ENSDARG00000080128,ENSDARG00000080128.3,ENSDART00000118615,ENSDART00000118615.3,,
ENSDARG00000063905,ENSDARG00000063905.3,ENSDART00000093606,ENSDART00000093606.3,mt-co1,
ENSDARG00000081369,ENSDARG00000081369.3,ENSDART00000117474,ENSDART00000117474.3,,
ENSDARG00000083519,ENSDARG00000083519.3,ENSDART00000117438,ENSDART00000117438.3,,
ENSDARG00000063908,ENSDARG00000063908.3,ENSDART00000093609,ENSDART00000093609.3,mt-co2,
ENSDARG00000080151,ENSDARG00000080151.3,ENSDART00000115812,ENSDART00000115812.3,,
ENSDARG00000063910,ENSDARG00000063910.3,ENSDART00000093611,ENSDART00000093611.3,mt-atp8,
ENSDARG00000063911,ENSDARG00000063911.3,ENSDART00000093612,ENSDART00000093612.3,mt-atp6,
ENSDARG00000063912,ENSDARG00000063912.3,ENSDART00000093613,ENSDART00000093613.3,mt-co3,
ENSDARG00000081758,ENSDARG00000081758.3,ENSDART00000116044,ENSDART00000116044.3,,
ENSDARG00000063914,ENSDARG00000063914.3,ENSDART00000093615,ENSDART00000093615.3,mt-nd3,
ENSDARG00000080329,ENSDARG00000080329.3,ENSDART00000117281,ENSDART00000117281.3,,
ENSDARG00000063916,ENSDARG00000063916.3,ENSDART00000093617,ENSDART00000093617.3,mt-nd4l,
ENSDARG00000063917,ENSDARG00000063917.3,ENSDART00000093618,ENSDART00000093618.3,mt-nd4,
ENSDARG00000082716,ENSDARG00000082716.3,ENSDART00000118969,ENSDART00000118969.3,,
ENSDARG00000082123,ENSDARG00000082123.3,ENSDART00000117687,ENSDART00000117687.3,,
ENSDARG00000081280,ENSDARG00000081280.3,ENSDART00000116461,ENSDART00000116461.3,,
ENSDARG00000063921,ENSDARG00000063921.3,ENSDART00000093622,ENSDART00000093622.3,mt-nd5,
ENSDARG00000063922,ENSDARG00000063922.3,ENSDART00000093623,ENSDART00000093623.3,mt-nd6,
ENSDARG00000083312,ENSDARG00000083312.3,ENSDART00000116823,ENSDART00000116823.3,,
ENSDARG00000063924,ENSDARG00000063924.3,ENSDART00000093625,ENSDART00000093625.3,mt-cyb,
ENSDARG00000083462,ENSDARG00000083462.3,ENSDART00000116552,ENSDART00000116552.3,,
ENSDARG00000081475,ENSDARG00000081475.3,ENSDART00000115546,ENSDART00000115546.3,,
