"","external_gene_name","chromosome_name","transcript_biotype"
"1","aap-1","I","protein_coding"
"2","aat-1","IV","protein_coding"
"3","aat-2","V","protein_coding"
"4","aat-3","X","protein_coding"
"5","aat-4","IV","protein_coding"
"6","aat-5","I","protein_coding"
"7","aat-6","V","protein_coding"
"8","aat-7","II","protein_coding"
"9","aat-8","IV","protein_coding"
"10","aat-9","I","protein_coding"
"11","abf-1","I","protein_coding"
"12","abf-2","I","protein_coding"
"13","abf-3","V","protein_coding"
"14","abf-4","V","protein_coding"
"15","abf-5","X","protein_coding"
"16","abf-6","X","protein_coding"
"17","abl-1","X","protein_coding"
"18","abt-1","IV","protein_coding"
"19","abt-2","I","protein_coding"
"20","abt-4","V","protein_coding"
"21","abt-5","I","protein_coding"
"22","abu-1","V","protein_coding"
"23","abu-2","X","protein_coding"
"24","abu-4","V","protein_coding"
"25","abu-5","IV","protein_coding"
"26","abu-6","V","protein_coding"
"27","abu-7","V","protein_coding"
"28","abu-8","V","protein_coding"
"29","abu-9","X","protein_coding"
"30","abu-10","X","protein_coding"
"31","abu-11","II","protein_coding"
"32","ace-1","X","protein_coding"
"33","ace-2","I","protein_coding"
"34","ace-3","II","protein_coding"
"35","ace-4","II","protein_coding"
"36","acn-1","X","protein_coding"
"37","aco-1","X","protein_coding"
"38","aco-2","III","protein_coding"
"39","acr-2","X","protein_coding"
"40","acr-3","X","protein_coding"
"41","acr-5","III","protein_coding"
"42","acr-6","I","protein_coding"
"43","acr-7","II","protein_coding"
"44","acr-8","X","protein_coding"
"45","acr-9","X","protein_coding"
"46","acr-10","X","protein_coding"
"47","acr-11","I","protein_coding"
"48","acr-12","X","protein_coding"
"49","acr-14","II","protein_coding"
"50","acr-15","V","protein_coding"
"51","acr-16","V","protein_coding"
"52","acr-17","V","protein_coding"
"53","acr-18","V","protein_coding"
"54","acr-19","I","protein_coding"
"55","acr-20","II","protein_coding"
"56","acr-21","III","protein_coding"
"57","lgc-11","X","protein_coding"
"58","acr-23","V","protein_coding"
"59","act-1","V","protein_coding"
"60","act-2","V","protein_coding"
"61","act-3","V","protein_coding"
"62","act-4","X","protein_coding"
"63","act-5","III","protein_coding"
"64","acy-1","III","protein_coding"
"65","acy-2","V","protein_coding"
"66","acy-3","III","protein_coding"
"67","acy-4","V","protein_coding"
"68","add-1","X","protein_coding"
"69","add-2","V","protein_coding"
"70","adm-2","X","protein_coding"
"71","adm-4","X","protein_coding"
"72","adr-1","I","protein_coding"
"73","adr-2","III","protein_coding"
"74","ads-1","III","protein_coding"
"75","adt-1","X","protein_coding"
"76","adt-2","X","protein_coding"
"77","aex-1","I","protein_coding"
"78","aex-2","X","protein_coding"
"79","aex-3","X","protein_coding"
"80","aex-5","I","protein_coding"
"81","aex-6","I","protein_coding"
"82","age-1","II","protein_coding"
"83","ags-3","X","protein_coding"
"84","agt-1","IV","protein_coding"
"85","agt-2","II","protein_coding"
"86","aha-1","I","protein_coding"
"87","ahr-1","I","protein_coding"
"88","aip-1","V","protein_coding"
"89","air-1","V","protein_coding"
"90","air-2","I","protein_coding"
"91","ajm-1","X","protein_coding"
"92","aka-1","II","protein_coding"
"93","akt-1","V","protein_coding"
"94","akt-2","X","protein_coding"
"95","alg-1","X","protein_coding"
"96","alg-2","II","protein_coding"
"97","alh-1","III","protein_coding"
"98","alh-2","V","protein_coding"
"99","alh-3","IV","protein_coding"
"100","alh-4","V","protein_coding"
"101","alh-5","V","protein_coding"
"102","alh-6","II","protein_coding"
"103","alh-7","II","protein_coding"
"104","alh-8","II","protein_coding"
"105","alh-9","III","protein_coding"
"106","alh-10","X","protein_coding"
"107","alh-11","III","protein_coding"
"108","alh-12","III","protein_coding"
"109","aly-1","IV","protein_coding"
"110","aly-2","IV","protein_coding"
"111","aly-3","IV","protein_coding"
"112","ama-1","IV","protein_coding"
"113","amt-1","X","protein_coding"
"114","amt-2","IV","protein_coding"
"115","amt-3","II","protein_coding"
"116","amt-4","X","protein_coding"
"117","amx-1","III","protein_coding"
"118","amx-2","I","protein_coding"
"119","amx-3","V","protein_coding"
"120","anc-1","I","protein_coding"
"121","aos-1","V","protein_coding"
"122","apc-2","III","protein_coding"
"123","apc-10","V","protein_coding"
"124","apc-11","III","protein_coding"
"125","ape-1","V","protein_coding"
"126","aph-1","I","protein_coding"
"127","aph-2","I","protein_coding"
"128","apl-1","X","protein_coding"
"129","apm-1","I","protein_coding"
"130","apn-1","II","protein_coding"
"131","app-1","I","protein_coding"
"132","apr-1","I","protein_coding"
"133","aps-2","X","protein_coding"
"134","apg-1","I","protein_coding"
"135","aps-1","V","protein_coding"
"136","apb-1","III","protein_coding"
"137","apa-2","X","protein_coding"
"138","apd-3","II","protein_coding"
"139","apb-3","I","protein_coding"
"140","apm-3","X","protein_coding"
"141","aps-3","I","protein_coding"
"142","apt-9","X","protein_coding"
"143","apx-1","V","protein_coding"
"144","aqp-1","II","protein_coding"
"145","aqp-2","II","protein_coding"
"146","aqp-3","IV","protein_coding"
"147","aqp-4","V","protein_coding"
"148","aqp-5","V","protein_coding"
"149","aqp-6","V","protein_coding"
"150","aqp-7","X","protein_coding"
"151","aqp-8","X","protein_coding"
"152","aqp-9","I","protein_coding"
"153","aqp-10","II","protein_coding"
"154","aqp-11","III","protein_coding"
"155","arc-1","II","protein_coding"
"156","ard-1","IV","protein_coding"
"157","arf-1","III","protein_coding"
"158","arf-5","IV","protein_coding"
"159","arf-6","IV","protein_coding"
"160","arg-1","X","protein_coding"
"161","ark-1","IV","protein_coding"
"162","arl-1","II","protein_coding"
"163","arl-3","II","protein_coding"
"164","arl-5","III","protein_coding"
"165","warf-1","IV","protein_coding"
"166","arl-8","IV","protein_coding"
"167","arl-6","III","protein_coding"
"168","arr-1","X","protein_coding"
"169","aars-1","II","protein_coding"
"170","aars-2","I","protein_coding"
"171","art-1","II","protein_coding"
"172","arx-1","I","protein_coding"
"173","arx-2","V","protein_coding"
"174","arx-3","III","protein_coding"
"175","exos-4.2","III","protein_coding"
"176","arx-5","III","protein_coding"
"177","arx-6","III","protein_coding"
"178","arx-7","I","protein_coding"
"179","asb-1","III","protein_coding"
"180","asb-2","X","protein_coding"
"181","trip-4","II","protein_coding"
"182","asg-1","I","protein_coding"
"183","asg-2","X","protein_coding"
"184","asm-1","II","protein_coding"
"185","asm-2","X","protein_coding"
"186","asm-3","IV","protein_coding"
"187","asp-1","V","protein_coding"
"188","asp-2","V","protein_coding"
"189","asp-3","X","protein_coding"
"190","asp-4","X","protein_coding"
"191","asp-5","V","protein_coding"
"192","asp-6","V","protein_coding"
"193","atf-2","II","protein_coding"
"194","atf-4","X","protein_coding"
"195","atf-6","X","protein_coding"
"196","atf-7","III","protein_coding"
"197","atgp-1","IV","protein_coding"
"198","atgp-2","II","protein_coding"
"199","atl-1","V","protein_coding"
"200","atm-1","I","protein_coding"
"201","atn-1","V","protein_coding"
"202","atp-2","III","protein_coding"
"203","atp-3","I","protein_coding"
"204","atx-2","III","protein_coding"
"205","avr-14","I","protein_coding"
"206","avr-15","V","protein_coding"
"207","baf-1","III","protein_coding"
"208","bag-1","I","protein_coding"
"209","bam-2","I","protein_coding"
"210","bar-1","X","protein_coding"
"211","bas-1","III","protein_coding"
"212","pah-1","II","protein_coding"
"213","bbs-1","I","protein_coding"
"214","bbs-2","IV","protein_coding"
"215","bbs-8","V","protein_coding"
"216","bca-1","X","protein_coding"
"217","bcc-1","IV","protein_coding"
"218","bec-1","IV","protein_coding"
"219","ben-1","III","protein_coding"
"220","bir-1","V","protein_coding"
"221","bir-2","V","protein_coding"
"222","bli-1","II","protein_coding"
"223","bli-2","II","protein_coding"
"224","bli-3","I","protein_coding"
"225","bli-4","I","protein_coding"
"226","bli-5","III","protein_coding"
"227","bli-6","IV","protein_coding"
"228","bmk-1","V","protein_coding"
"229","bpl-1","II","protein_coding"
"230","bra-1","X","protein_coding"
"231","F23H11.5","III","protein_coding"
"232","brc-1","III","protein_coding"
"233","brd-1","III","protein_coding"
"234","bre-1","IV","protein_coding"
"235","bre-2","III","protein_coding"
"236","bre-3","III","protein_coding"
"237","bre-4","I","protein_coding"
"238","bre-5","IV","protein_coding"
"239","brf-1","II","protein_coding"
"240","bro-1","I","protein_coding"
"241","brp-1","III","protein_coding"
"242","btf-1","II","protein_coding"
"243","bub-1","I","protein_coding"
"244","byn-1","III","protein_coding"
"245","cab-1","X","protein_coding"
"246","cah-1","III","protein_coding"
"247","cah-2","II","protein_coding"
"248","cah-3","X","protein_coding"
"249","cah-4","X","protein_coding"
"250","cah-5","X","protein_coding"
"251","cah-6","I","protein_coding"
"252","cal-1","V","protein_coding"
"253","cal-2","II","protein_coding"
"254","cal-3","IV","protein_coding"
"255","cal-4","IV","protein_coding"
"256","cam-1","II","protein_coding"
"257","cap-1","IV","protein_coding"
"258","cap-2","II","protein_coding"
"259","cas-1","X","protein_coding"
"260","cat-1","X","protein_coding"
"261","cat-2","II","protein_coding"
"262","cat-4","V","protein_coding"
"263","cav-1","IV","protein_coding"
"264","cav-2","V","protein_coding"
"265","cbp-1","III","protein_coding"
"266","cca-1","X","protein_coding"
"267","ccb-1","I","protein_coding"
"268","ccf-1","III","protein_coding"
"269","ccg-1","IV","protein_coding"
"270","cox-5B","I","protein_coding"
"271","cyp-13A7","II","protein_coding"
"272","cyp-14A5","V","protein_coding"
"273","cyp-44A1","II","protein_coding"
"274","ccr-4","IV","protein_coding"
"275","cct-1","II","protein_coding"
"276","cct-2","II","protein_coding"
"277","cct-4","II","protein_coding"
"278","cct-5","III","protein_coding"
"279","cct-6","III","protein_coding"
"280","cdc-6","I","protein_coding"
"281","cdc-14","II","protein_coding"
"282","cdc-25.1","I","protein_coding"
"283","cdc-25.2","V","protein_coding"
"284","cdc-25.3","III","protein_coding"
"285","cdc-25.4","II","protein_coding"
"286","cdc-42","II","protein_coding"
"287","cdd-1","X","protein_coding"
"288","cdd-2","IV","protein_coding"
"289","cdf-1","X","protein_coding"
"290","cdh-3","III","protein_coding"
"291","cdh-4","III","protein_coding"
"292","cdh-5","IV","protein_coding"
"293","cdh-7","II","protein_coding"
"294","cdh-9","X","protein_coding"
"295","cdh-10","IV","protein_coding"
"296","casy-1","II","protein_coding"
"297","cdk-1","III","protein_coding"
"298","cdk-4","X","protein_coding"
"299","cdk-5","III","protein_coding"
"300","cdk-7","I","protein_coding"
"301","cdk-8","I","protein_coding"
"302","cdk-9","I","protein_coding"
"303","cdl-1","II","protein_coding"
"304","cdr-1","V","protein_coding"
"305","cdt-1","I","protein_coding"
"306","cec-1","III","protein_coding"
"307","ced-1","I","protein_coding"
"308","ced-2","IV","protein_coding"
"309","ced-3","IV","protein_coding"
"310","ced-4","III","protein_coding"
"311","ced-5","IV","protein_coding"
