"","external_gene_name","chromosome_name","transcript_biotype"
"1","mt-Nd1","MT","protein_coding"
"2","mt-Nd2","MT","protein_coding"
"3","mt-Co1","MT","protein_coding"
"4","mt-Co2","MT","protein_coding"
"5","mt-Atp8","MT","protein_coding"
"6","mt-Atp6","MT","protein_coding"
"7","mt-Co3","MT","protein_coding"
"8","mt-Nd3","MT","protein_coding"
"9","mt-Nd4l","MT","protein_coding"
"10","mt-Nd4","MT","protein_coding"
"11","mt-Nd5","MT","protein_coding"
"12","mt-Nd6","MT","protein_coding"
"13","mt-Cytb","MT","protein_coding"
"14","","JH584295.1","protein_coding"
"15","","GL456212.1","protein_coding"
"16","","JH584296.1","protein_coding"
"17","","JH584298.1","protein_coding"
"18","","GL456211.1","protein_coding"
"19","","GL456354.1","protein_coding"
"20","Vmn1r186","GL456219.1","protein_coding"
"21","","GL456219.1","protein_coding"
"22","","JH584299.1","protein_coding"
"23","","JH584303.1","protein_coding"
"24","Gm16367","JH584299.1","protein_coding"
"25","","JH584297.1","protein_coding"
"26","","JH584304.1","protein_coding"
"27","","GL456210.1","protein_coding"
"28","","GL456221.1","protein_coding"
"29","Csprs","GL456221.1","protein_coding"
"30","Gm20816","Y","protein_coding"
"31","Gm20817","Y","protein_coding"
"32","Gm20870","Y","protein_coding"
"33","Gm20903","Y","protein_coding"
"34","Gm20905","Y","protein_coding"
"35","Gm20738","Y","protein_coding"
"36","Gm20814","Y","protein_coding"
"37","Gm20850","Y","protein_coding"
"38","Gm20897","Y","protein_coding"
"39","Gm20867","Y","protein_coding"
"40","Gm20806","Y","protein_coding"
"41","Gm29276","Y","protein_coding"
"42","Gm20854","Y","protein_coding"
"43","Gm20820","Y","protein_coding"
"44","Gm20883","Y","protein_coding"
"45","Gm20906","Y","protein_coding"
"46","Gm20747","Y","protein_coding"
"47","Gm20929","Y","protein_coding"
"48","Gm20823","Y","protein_coding"
"49","Gm21627","Y","protein_coding"
"50","Gm20908","Y","protein_coding"
"51","Gm20924","Y","protein_coding"
"52","Gm20736","Y","protein_coding"
"53","Gm20852","Y","protein_coding"
"54","Ssty2","Y","protein_coding"
"55","Gm20937","Y","protein_coding"
"56","Gm21366","Y","protein_coding"
"57","Gm20809","Y","protein_coding"
"58","Gm29289","Y","protein_coding"
"59","Gm21677","Y","protein_coding"
"60","Gm21693","Y","protein_coding"
"61","Gm21704","Y","protein_coding"
"62","Gm21708","Y","protein_coding"
"63","Gm3376","Y","protein_coding"
"64","Gm20918","Y","protein_coding"
"65","Gm20873","Y","protein_coding"
"66","Gm20830","Y","protein_coding"
"67","Gm28998","Y","protein_coding"
"68","Gm20826","Y","protein_coding"
"69","Gm28576","Y","protein_coding"
"70","Gm29049","Y","protein_coding"
"71","Gm20825","Y","protein_coding"
"72","Gm20824","Y","protein_coding"
"73","Gm20815","Y","protein_coding"
"74","Gm21310","Y","protein_coding"
"75","Gm20834","Y","protein_coding"
"76","Gm20828","Y","protein_coding"
"77","Gm20822","Y","protein_coding"
"78","Gm20909","Y","protein_coding"
"79","Gm20865","Y","protein_coding"
"80","Zfy1","Y","protein_coding"
"81","Uba1y","Y","protein_coding"
"82","Kdm5d","Y","protein_coding"
"83","Eif2s3y","Y","protein_coding"
"84","Uty","Y","protein_coding"
"85","Ddx3y","Y","protein_coding"
"86","Usp9y","Y","protein_coding"
"87","Zfy2","Y","protein_coding"
"88","H2al2c","Y","protein_coding"
"89","Sry","Y","protein_coding"
"90","H2al2b","Y","protein_coding"
"91","Gm4064","Y","protein_coding"
"92","Rbmy","Y","protein_coding"
"93","Gm10256","Y","protein_coding"
"94","Gm10352","Y","protein_coding"
"95","Rbm31y","Y","protein_coding"
"96","Gm20772","Y","protein_coding"
"97","Gm20831","Y","protein_coding"
"98","Ssty1","Y","protein_coding"
"99","Gm20877","Y","protein_coding"
"100","Gm20807","Y","protein_coding"
"101","Gm21440","Y","protein_coding"
"102","Gm21454","Y","protein_coding"
"103","","Y","protein_coding"
"104","Sly","Y","protein_coding"
"105","Gm21943","Y","protein_coding"
"106","Gm28961","Y","protein_coding"
"107","Gm21118","Y","protein_coding"
"108","Gm29424","Y","protein_coding"
"109","Gm29554","Y","protein_coding"
"110","Gm20812","Y","protein_coding"
"111","Gm21258","Y","protein_coding"
"112","Gm20931","Y","protein_coding"
"113","Gm20917","Y","protein_coding"
"114","Gm20916","Y","protein_coding"
"115","Gm20855","Y","protein_coding"
"116","Gm20896","Y","protein_coding"
"117","Gm20869","Y","protein_coding"
"118","Gm21394","Y","protein_coding"
"119","Gm21409","Y","protein_coding"
"120","Gm20920","Y","protein_coding"
"121","Gm20894","Y","protein_coding"
"122","Gm21317","Y","protein_coding"
"123","Gm20835","Y","protein_coding"
"124","Gm20911","Y","protein_coding"
"125","Gm21117","Y","protein_coding"
"126","Gm20888","Y","protein_coding"
"127","Gm21650","Y","protein_coding"
"128","Gm21518","Y","protein_coding"
"129","Gm21209","Y","protein_coding"
"130","Gm20843","Y","protein_coding"
"131","Gm21294","Y","protein_coding"
"132","Gm21095","Y","protein_coding"
"133","Gm21488","Y","protein_coding"
"134","Gm20890","Y","protein_coding"
"135","Gm21173","Y","protein_coding"
"136","Gm21497","Y","protein_coding"
"137","Gm28553","Y","protein_coding"
"138","Gm21760","Y","protein_coding"
"139","Gm21858","Y","protein_coding"
"140","1700040F15Rik","Y","protein_coding"
"141","Gm20792","Y","protein_coding"
"142","Gm21865","Y","protein_coding"
"143","Gm35134","Y","protein_coding"
"144","Gm30737","Y","protein_coding"
"145","Gm21996","Y","protein_coding"
"146","Gm28102","Y","protein_coding"
"147","Gm28490","Y","protein_coding"
"148","Gm29582","Y","protein_coding"
"149","Gm28870","Y","protein_coding"
"150","Gm21739","Y","protein_coding"
"151","Gm21256","Y","protein_coding"
"152","Gm20838","Y","protein_coding"
"153","Gm28891","Y","protein_coding"
"154","Gm20837","Y","protein_coding"
"155","Gm21861","Y","protein_coding"
"156","Gm28897","Y","protein_coding"
"157","Gm29564","Y","protein_coding"
"158","Gm28827","Y","protein_coding"
"159","Gm29110","Y","protein_coding"
"160","Gm31571","Y","protein_coding"
"161","Gm29866","Y","protein_coding"
"162","Gm20777","Y","protein_coding"
"163","Gm28510","Y","protein_coding"
"164","Gm20737","Y","protein_coding"
"165","Gm28919","Y","protein_coding"
"166","Gm21719","Y","protein_coding"
"167","Gm28171","Y","protein_coding"
"168","Gm21778","Y","protein_coding"
"169","Gm21854","Y","protein_coding"
"170","Gm20914","Y","protein_coding"
"171","Gm21812","Y","protein_coding"
"172","Gm21874","Y","protein_coding"
"173","Gm20821","Y","protein_coding"
"174","Gm21244","Y","protein_coding"
"175","Gm21292","Y","protein_coding"
"176","Gm21721","Y","protein_coding"
"177","Gm21425","Y","protein_coding"
"178","Gm20773","Y","protein_coding"
"179","Gm20795","Y","protein_coding"
"180","Gm21094","Y","protein_coding"
"181","Gm21477","Y","protein_coding"
"182","Chst9","18","protein_coding"
"183","Cdh2","18","protein_coding"
"184","Cep120","18","protein_coding"
"185","Krtap20-2","16","protein_coding"
"186","Krtap21-1","16","protein_coding"
"187","Krtap6-2","16","protein_coding"
"188","Ifitm7","16","protein_coding"
"189","Krtap8-1","16","protein_coding"
"190","Krtap7-1","16","protein_coding"
"191","Krtap11-1","16","protein_coding"
"192","Bmerb1","16","protein_coding"
"193","Rabl3","16","protein_coding"
"194","Hgd","16","protein_coding"
"195","Csnk1g3","18","protein_coding"
"196","Ndufb4","16","protein_coding"
"197","Dsc3","18","protein_coding"
"198","Marf1","16","protein_coding"
"199","Zfp608","18","protein_coding"
"200","Fstl1","16","protein_coding"
"201","Btnl12","16","protein_coding"
"202","Lrrc58","16","protein_coding"
"203","Gpr156","16","protein_coding"
"204","Gramd3","18","protein_coding"
"205","Gsk3b","16","protein_coding"
"206","Nde1","16","protein_coding"
"207","Dsc2","18","protein_coding"
"208","Tiam1","16","protein_coding"
"209","Dsc1","18","protein_coding"
"210","Dsg1c","18","protein_coding"
"211","Dsg1a","18","protein_coding"
"212","Sod1","16","protein_coding"
"213","Dsg1b","18","protein_coding"
"214","Scaf4","16","protein_coding"
"215","Aldh7a1","18","protein_coding"
"216","Hunk","16","protein_coding"
"217","Mis18a","16","protein_coding"
"218","Mrap","16","protein_coding"
"219","Dsg4","18","protein_coding"
"220","Urb1","16","protein_coding"
"221","Phax","18","protein_coding"
"222","Tex43","18","protein_coding"
"223","Lmnb1","18","protein_coding"
"224","Myh11","16","protein_coding"
"225","Marchf3","18","protein_coding"
"226","Dsg3","18","protein_coding"
"227","C330018D20Rik","18","protein_coding"
"228","Dsg2","18","protein_coding"
"229","Ttr","18","protein_coding"
"230","B4galt6","18","protein_coding"
"231","Megf10","18","protein_coding"
"232","Trappc8","18","protein_coding"
"233","Cep20","16","protein_coding"
"234","Eva1c","16","protein_coding"
"235","Klf9","19","protein_coding"
"236","Rnf125","18","protein_coding"
"237","Habp2","19","protein_coding"
"238","Rnf138","18","protein_coding"
"239","Cfap298","16","protein_coding"
"240","Igsf11","16","protein_coding"
"241","Mep1b","18","protein_coding"
"242","Lsamp","16","protein_coding"
"243","Garem1","18","protein_coding"
"244","Smc5","19","protein_coding"
"245","Fbn2","18","protein_coding"
"246","Gap43","16","protein_coding"
"247","Efcab1","16","protein_coding"
"248","Synj1","16","protein_coding"
"249","Klhl14","18","protein_coding"
"250","Mamdc2","19","protein_coding"
"251","Slc27a6","18","protein_coding"
"252","Isoc1","18","protein_coding"
"253","Cfap95","19","protein_coding"
"254","Adamts19","18","protein_coding"
"255","Ptar1","19","protein_coding"
"256","Apba1","19","protein_coding"
"257","Ccdc178","18","protein_coding"
"258","Ube2v2","16","protein_coding"
"259","Entrep1","19","protein_coding"
"260","1700029F12Rik","13","protein_coding"
"261","Mcm4","16","protein_coding"
"262","Cntnap3","13","protein_coding"
"263","Tjp2","19","protein_coding"
"264","Lratd1","12","protein_coding"
"265","Ofcc1","13","protein_coding"
"266","Minar2","18","protein_coding"
"267","Paxbp1","16","protein_coding"
"268","Fam169a","13","protein_coding"
"269","Trib2","12","protein_coding"
"270","Chsy3","18","protein_coding"
"271","Gpr50","X","protein_coding"
"272","Gm4951","18","protein_coding"
"273","Heatr5a","12","protein_coding"
"274","Gm6169","13","protein_coding"
"275","Gm4841","18","protein_coding"
"276","Fxn","19","protein_coding"
"277","Nsa2","13","protein_coding"
"278","F830016B08Rik","18","protein_coding"
"279","Asxl3","18","protein_coding"
"280","Slc16a2","X","protein_coding"
"281","4932438H23Rik","16","protein_coding"
"282","Tfap2a","13","protein_coding"
"283","Pip5k1b","19","protein_coding"
"284","Gm10488","X","protein_coding"
"285","Zbtb20","16","protein_coding"
"286","Iigp1","18","protein_coding"
"287","Vma21","X","protein_coding"
"288","Smim3","18","protein_coding"
"289","Dctn4","18","protein_coding"
"290","Gm14632","X","protein_coding"
"291","Fam122a","19","protein_coding"
"292","Tmem252","19","protein_coding"
"293","Pgm5","19","protein_coding"
"294","Gcnt2","13","protein_coding"
"295","Dtd2","12","protein_coding"
"296","Htr2c","X","protein_coding"
"297","Gpr33","12","protein_coding"
"298","Gm10053","19","protein_coding"
"299","Vrtn","12","protein_coding"
"300","Foxd4","19","protein_coding"
"301","Nol4","18","protein_coding"
"302","Nrap","19","protein_coding"
"303","Rlim","X","protein_coding"
"304","Nme8","13","protein_coding"
"305","Pspc1","14","protein_coding"
"306","Smug1","15","protein_coding"
"307","Gm1141","X","protein_coding"
"308","Ccdc134","15","protein_coding"
"309","Tigit","16","protein_coding"
"310","Syndig1l","12","protein_coding"
"311","Prkdc","16","protein_coding"
"312","Dach1","14","protein_coding"
"313","Gm10487","X","protein_coding"
"314","Rbm22","18","protein_coding"
"315","Nubpl","12","protein_coding"
"316","Prrg3","X","protein_coding"
"317","Mroh2b","15","protein_coding"
"318","Pak1ip1","13","protein_coding"
"319","Nexmif","X","protein_coding"
"320","Myoz3","18","protein_coding"
"321","Npc2","12","protein_coding"
"322","Synpo","18","protein_coding"
"323","Fate1","X","protein_coding"
"324","Il13ra2","X","protein_coding"
"325","Isca2","12","protein_coding"
"326","Gpr141b","13","protein_coding"
"327","Gm10139","13","protein_coding"
"328","Tmem14c","13","protein_coding"
"329","Ndst1","18","protein_coding"
"330","Zmym5","14","protein_coding"
"331","Arhgap5","12","protein_coding"
"332","Gpr141","13","protein_coding"
"333","Cbx5","15","protein_coding"
"334","Cnga2","X","protein_coding"
"335","Elmo1","13","protein_coding"
"336","Magea4","X","protein_coding"
"337","C7","15","protein_coding"
"338","Btbd35f1","X","protein_coding"
"339","Akap6","12","protein_coding"
"340","Abcb7","X","protein_coding"
"341","Rps14","18","protein_coding"
"342","Wdhd1","14","protein_coding"
"343","Card6","15","protein_coding"
"344","Rpl37","15","protein_coding"
"345","Prkaa1","15","protein_coding"
"346","Gm5926","X","protein_coding"
"347","Npas3","12","protein_coding"
"348","Dtna","18","protein_coding"
"349","Drd3","16","protein_coding"
"350","Btbd35f21","X","protein_coding"
"351","Agrp","8","protein_coding"
"352","Srebf2","15","protein_coding"
"353","Uprt","X","protein_coding"
"354","Gabre","X","protein_coding"
"355","Ripor1","8","protein_coding"
"356","Aoah","13","protein_coding"
"357","Mzt2","16","protein_coding"
"358","Btbd35f5","X","protein_coding"
"359","Egln3","12","protein_coding"
"360","Btbd35f12","X","protein_coding"
"361","Cebpd","16","protein_coding"
"362","Magea10","X","protein_coding"
"363","Qtrt2","16","protein_coding"
"364","Btbd35f15","X","protein_coding"
"365","Sptssa","12","protein_coding"
"366","Zdhhc15","X","protein_coding"
"367","Ctcf","8","protein_coding"
"368","Ltbp2","12","protein_coding"
"369","Mtbp","15","protein_coding"
"370","Or2p2","13","protein_coding"
"371","Btbd35f13","X","protein_coding"
"372","Spidr","16","protein_coding"
"373","Socs4","14","protein_coding"
"374","Mak","13","protein_coding"
"375","Btbd35f14","X","protein_coding"
"376","Magee2","X","protein_coding"
"377","Btbd35f6","X","protein_coding"
"378","Nr3c2","8","protein_coding"
"379","Zmym2","14","protein_coding"
"380","Btbd35f9","X","protein_coding"
"381","Spin2g","X","protein_coding"
"382","Btbd35f8","X","protein_coding"
"383","Gabra3","X","protein_coding"
"384","Cbwd1","19","protein_coding"
"385","Pkp2","16","protein_coding"
"386","Mapk1ip1l","14","protein_coding"
"387","Gm10486","X","protein_coding"
"388","Carmil2","8","protein_coding"
"389","Ccdc191","16","protein_coding"
"390","Lgals3","14","protein_coding"
"391","Casp7","19","protein_coding"
"392","Cd74","18","protein_coding"
"393","Pcm1","8","protein_coding"
"394","Dock8","19","protein_coding"
"395","Gabrq","X","protein_coding"
"396","Shisa8","15","protein_coding"
"397","Sntb1","15","protein_coding"
"398","Eapp","12","protein_coding"
"399","Yars2","16","protein_coding"
"400","Gfm2","13","protein_coding"
"401","Ift88","14","protein_coding"
"402","Ttc33","15","protein_coding"
"403","Gm14819","X","protein_coding"
"404","Zdhhc23","16","protein_coding"
"405","Mapre2","18","protein_coding"
"406","Ifnar1","16","protein_coding"
"407","Ppp2r5c","12","protein_coding"
"408","Cetn2","X","protein_coding"
"409","Tnfrsf13c","15","protein_coding"
"410","Mrpl47","3","protein_coding"
"411","Kank1","19","protein_coding"
"412","Has2","15","protein_coding"
"413","Hnrnpa1","15","protein_coding"
"414","Lrch2","X","protein_coding"
"415","Adgrl4","3","protein_coding"
"416","Pibf1","14","protein_coding"
"417","Ifngr2","16","protein_coding"
"418","Dmrt1","19","protein_coding"
"419","Acd","8","protein_coding"
"420","Zfp397","18","protein_coding"
"421","Tmem50b","16","protein_coding"
"422","Dmrt3","19","protein_coding"
"423","Ndufb5","3","protein_coding"
"424","Dmrt2","19","protein_coding"
"425","Zfp35","18","protein_coding"
"426","Zfp24","18","protein_coding"
"427","Gramd1c","16","protein_coding"
"428","Nhlrc2","19","protein_coding"
"429","Ino80c","18","protein_coding"
"430","Il17d","14","protein_coding"
"431","Ptger4","15","protein_coding"
"432","Zmiz1","14","protein_coding"
"433","Slc30a7","3","protein_coding"
"434","Adrb1","19","protein_coding"
"435","Tcof1","18","protein_coding"
"436","Asah1","8","protein_coding"
"437","Ccdc186","19","protein_coding"
"438","Ifi44","3","protein_coding"
"439","Slc22a22","15","protein_coding"
"440","Pbdc1","X","protein_coding"
"441","Arel1","12","protein_coding"
"442","Ifi44l","3","protein_coding"
"443","Ptgfr","3","protein_coding"
"444","Dnajc28","16","protein_coding"
"445","Pacs1","19","protein_coding"
"446","Nfe2","15","protein_coding"
"447","Atp6v1a","16","protein_coding"
"448","Nsdhl","X","protein_coding"
"449","Pard6a","8","protein_coding"
"450","Usp13","3","protein_coding"
"451","Eef1akmt1","14","protein_coding"
"452","Cenpm","15","protein_coding"
"453","Frg1","8","protein_coding"
"454","Magee1","X","protein_coding"
"455","Klf5","14","protein_coding"
"456","Gm15128","X","protein_coding"
"457","Hexb","13","protein_coding"
"458","Gm15080","X","protein_coding"
"459","Enkd1","8","protein_coding"
"460","Klf12","14","protein_coding"
"461","Extl2","3","protein_coding"
"462","Fgf16","X","protein_coding"
"463","4933405L10Rik","8","protein_coding"
"464","Sf3b2","19","protein_coding"
"465","Gm15107","X","protein_coding"
"466","Zhx2","15","protein_coding"
"467","Enc1","13","protein_coding"
"468","Dync1h1","12","protein_coding"
"469","Arhgap10","8","protein_coding"
"470","Smim45","15","protein_coding"
"471","Prr30","14","protein_coding"
"472","Derl1","15","protein_coding"
"473","Tmem170b","13","protein_coding"
"474","Xpo4","14","protein_coding"
"475","Dock11","X","protein_coding"
"476","Dnm1l","16","protein_coding"
"477","Copz1","15","protein_coding"
"478","Zfp457","13","protein_coding"
"479","Gipc2","3","protein_coding"
"480","Zfp595","13","protein_coding"
"481","Arsi","18","protein_coding"
"482","Galnt1","18","protein_coding"
"483","Gpr84","15","protein_coding"
"484","Adtrp","13","protein_coding"
"485","Zfp385a","15","protein_coding"
"486","Gal3st3","19","protein_coding"
