"","ensembl_gene_id","external_gene_name","chromosome_name","transcript_biotype"
"1","ENSDARG00000063344","fam162a","24","protein_coding"
"2","ENSDARG00000097685","","17","protein_coding"
"3","ENSDARG00000036008","caly","1","protein_coding"
"4","ENSDARG00000069301","tmem177","9","protein_coding"
"5","ENSDARG00000104901","ostc","7","protein_coding"
"6","ENSDARG00000031836","vps37c","1","protein_coding"
"7","ENSDARG00000103391","RAB9B","14","protein_coding"
"8","ENSDARG00000030463","tppp3","7","protein_coding"
"9","ENSDARG00000103031","","4","protein_coding"
"10","ENSDARG00000070447","slc39a9","17","protein_coding"
"11","ENSDARG00000080018","KIF16B","13","protein_coding"
"12","ENSDARG00000036109","mtx1b","19","protein_coding"
"13","ENSDARG00000029612","gpkow","8","protein_coding"
"14","ENSDARG00000075759","SAMD4A","17","protein_coding"
"15","ENSDARG00000057635","dync2i2","21","protein_coding"
"16","ENSDARG00000032737","gria3a","5","protein_coding"
"17","ENSDARG00000053517","EML5","17","protein_coding"
"18","ENSDARG00000111826","zgc:174354","11","protein_coding"
"19","ENSDARG00000015793","creb3l1","7","protein_coding"
"20","ENSDARG00000044573","cdc42","11","protein_coding"
"21","ENSDARG00000025206","SYT2","23","protein_coding"
"22","ENSDARG00000042189","tspan33b","18","protein_coding"
"23","ENSDARG00000076270","","8","protein_coding"
"24","ENSDARG00000045415","gnal","24","protein_coding"
"25","ENSDARG00000100099","","4","protein_coding"
"26","ENSDARG00000087916","TMEM240","23","protein_coding"
"27","ENSDARG00000023058","foxo3a","17","protein_coding"
"28","ENSDARG00000100738","","5","protein_coding"
"29","ENSDARG00000067711","parvg","25","protein_coding"
"30","ENSDARG00000091834","","3","protein_coding"
"31","ENSDARG00000068468","DNAH3","24","protein_coding"
"32","ENSDARG00000101806","or30bu1","10","protein_coding"
"33","ENSDARG00000078805","ap5b1","11","protein_coding"
"34","ENSDARG00000058893","nhej1","6","protein_coding"
"35","ENSDARG00000088881","","16","protein_coding"
"36","ENSDARG00000095893","","20","protein_coding"
"37","ENSDARG00000062376","nlgn3b","5","protein_coding"
"38","ENSDARG00000039490","pitpnaa","15","protein_coding"
"39","ENSDARG00000020986","ctu1","8","protein_coding"
"40","ENSDARG00000098626","nitr12","7","protein_coding"
"41","ENSDARG00000089187","wfdc2","23","protein_coding"
"42","ENSDARG00000101165","","4","protein_coding"
"43","ENSDARG00000003175","stx5al","21","protein_coding"
"44","ENSDARG00000074846","","2","protein_coding"
"45","ENSDARG00000026759","","6","protein_coding"
"46","ENSDARG00000033099","kif7","7","protein_coding"
"47","ENSDARG00000024184","narf","12","protein_coding"
"48","ENSDARG00000009341","nrap","12","protein_coding"
"49","ENSDARG00000100546","or41a1","10","protein_coding"
"50","ENSDARG00000090804","GPR155","9","protein_coding"
"51","ENSDARG00000016977","snx27b","16","protein_coding"
"52","ENSDARG00000058538","alcamb","15","protein_coding"
"53","ENSDARG00000102175","hamp","16","protein_coding"
"54","ENSDARG00000018153","nt5c1ba","13","protein_coding"
"55","ENSDARG00000054533","araf","5","protein_coding"
"56","ENSDARG00000038154","isca2","17","protein_coding"
"57","ENSDARG00000036420","","7","protein_coding"
"58","ENSDARG00000098726","RPTOR","6","protein_coding"
"59","ENSDARG00000098677","","4","protein_coding"
"60","ENSDARG00000037652","ints15","1","protein_coding"
"61","ENSDARG00000027963","CAMKV","6","protein_coding"
"62","ENSDARG00000097726","","15","protein_coding"
"63","ENSDARG00000011821","plod2","24","protein_coding"
"64","ENSDARG00000095576","","11","protein_coding"
"65","ENSDARG00000035875","tmem54b","19","protein_coding"
"66","ENSDARG00000057074","rpgrb","11","protein_coding"
"67","ENSDARG00000075181","","2","protein_coding"
"68","ENSDARG00000077950","tor1","21","protein_coding"
"69","ENSDARG00000079355","flrt2","20","protein_coding"
"70","ENSDARG00000044251","rasgef1bb","10","protein_coding"
"71","ENSDARG00000096398","","6","protein_coding"
"72","ENSDARG00000003144","pxmp2","5","protein_coding"
"73","ENSDARG00000016968","tmem214","4","protein_coding"
"74","ENSDARG00000090063","fa2h","25","protein_coding"
"75","ENSDARG00000033789","ndufb7","1","protein_coding"
"76","ENSDARG00000017522","ctdp1","19","protein_coding"
"77","ENSDARG00000077860","ankhd1","21","protein_coding"
"78","ENSDARG00000052097","trim35-31","3","protein_coding"
"79","ENSDARG00000045015","cyp27b1","11","protein_coding"
"80","ENSDARG00000101490","","19","protein_coding"
"81","ENSDARG00000008100","slc7a10a","7","protein_coding"
"82","ENSDARG00000041340","mrpl51","16","protein_coding"
"83","ENSDARG00000087757","","15","protein_coding"
"84","ENSDARG00000092491","","2","protein_coding"
"85","ENSDARG00000045873","frs2a","4","protein_coding"
"86","ENSDARG00000088072","","3","protein_coding"
"87","ENSDARG00000096208","","4","protein_coding"
"88","ENSDARG00000070874","asmt2","17","protein_coding"
"89","ENSDARG00000045641","usp3","25","protein_coding"
"90","ENSDARG00000103025","hmgcs1","10","protein_coding"
"91","ENSDARG00000061439","ugt5c3","18","protein_coding"
"92","ENSDARG00000104269","","16","protein_coding"
"93","ENSDARG00000052520","sgms2a","1","protein_coding"
"94","ENSDARG00000018542","hapln4","22","protein_coding"
"95","ENSDARG00000074253","olig3","13","protein_coding"
"96","ENSDARG00000078768","","15","protein_coding"
"97","ENSDARG00000100858","zgc:171695","7","protein_coding"
"98","ENSDARG00000062357","TAFA1","23","protein_coding"
"99","ENSDARG00000019135","ankef1a","20","protein_coding"
"100","ENSDARG00000068711","crfb4","9","protein_coding"
"101","ENSDARG00000043002","vmo1a","3","protein_coding"
"102","ENSDARG00000090854","LSM11","14","protein_coding"
"103","ENSDARG00000056683","cdk5","24","protein_coding"
"104","ENSDARG00000012446","helz2c","7","protein_coding"
"105","ENSDARG00000078567","lonrf1l","8","protein_coding"
"106","ENSDARG00000021444","prf1.2","19","protein_coding"
"107","ENSDARG00000029263","hoxb3a","3","protein_coding"
"108","ENSDARG00000030472","SLC16A5","12","protein_coding"
"109","ENSDARG00000042515","gpr176","20","protein_coding"
"110","ENSDARG00000042018","fhl2a","9","protein_coding"
"111","ENSDARG00000036943","golph3l","19","protein_coding"
"112","ENSDARG00000015476","iqch","18","protein_coding"
"113","ENSDARG00000089954","","17","protein_coding"
"114","ENSDARG00000002355","SHPK","5","protein_coding"
"115","ENSDARG00000069537","si:dkey-238c7.16","18","protein_coding"
"116","ENSDARG00000044457","gfi1ab","6","protein_coding"
"117","ENSDARG00000087798","pdyn","23","protein_coding"
"118","ENSDARG00000101106","","1","protein_coding"
"119","ENSDARG00000093521","b3gnt3.3","8","protein_coding"
"120","ENSDARG00000045443","AGTR1","24","protein_coding"
"121","ENSDARG00000058958","","3","protein_coding"
"122","ENSDARG00000019293","tfdp1a","9","protein_coding"
"123","ENSDARG00000078167","","4","protein_coding"
"124","ENSDARG00000115890","","22","protein_coding"
"125","ENSDARG00000101085","ss18l2","18","protein_coding"
"126","ENSDARG00000007250","use1","22","protein_coding"
"127","ENSDARG00000113690","","4","protein_coding"
"128","ENSDARG00000011449","fes","7","protein_coding"
"129","ENSDARG00000099200","zgc:123103","19","protein_coding"
"130","ENSDARG00000040250","","1","protein_coding"
"131","ENSDARG00000044753","idh3b","21","protein_coding"
"132","ENSDARG00000006560","irf4a","2","protein_coding"
"133","ENSDARG00000074302","gpr183b","1","protein_coding"
"134","ENSDARG00000061371","cdh18a","2","protein_coding"
"135","ENSDARG00000063574","MTG2","23","protein_coding"
"136","ENSDARG00000086471","pkig","23","protein_coding"
"137","ENSDARG00000002377","mief2","1","protein_coding"
"138","ENSDARG00000052129","boka","6","protein_coding"
